label_usd_1,label_usd_2,label_eur_1,label_eur_2,id,title,content
0,0,0,0,'1',【彭博】--?香港特首林郑月娥呼吁藏匿在一所大学内的抗议者听从警方指示投降。大批示威者游行，支持校园内的示威者。,抗议者和警方周一大部分时间在香港理工大学一带发生冲突，多人被拘和受伤。双方战斗激烈，警方向示威者发射催泪瓦斯和橡胶子弹，示威者扔砖块和汽油弹。香港的示威行动最近几周变得越来越暴力，示威者肆意毁坏交通网络和对内地友好的企业。抗议者于11月18日逃离香港理工大学的催泪瓦斯。重要最新情况：林郑月娥谴责大学一带的暴力行为，大批示威者游行，增援小区内的示威者，香港特区政府官员表示，暴力有造成区议会选举押后的风险，中国称禁蒙面法违宪裁定挑战全国人大常委会权威
0,0,0,0,'2',新华社:国务院港澳办称香港法院禁蒙面法判决公然挑战人大常委权威,新华社报道称，国务院港澳办发言人杨光11月19日就香港高等法院原讼庭有关《禁止蒙面规例》司法复核案判决发表谈话，对该判决产生的严重负面社会影响表示强烈关注。高等法院原讼庭判决《紧急情况规例条例》赋予行政长官在某些情况下制定有关规例的规定不符合基本法，并裁决《禁止蒙面规例》的主要内容不符合相称性标准，公然挑战全国人大常委会的权威和法律赋予行政长官的管治权力，将产生严重负面社会政治影响，香港现行的《紧急情况规例条例》经过1997年2月全国人大常委会有关决定确认符合基本法，并采纳为香港特别行政区法律，这表明该条例的全部规定都符合基本法。香港行政长官会同行政会议依据该条例制定《禁止蒙面规例》，即为依照基本法和全国人大常委会有关决定履行职权。该规例实施以来对止暴制乱发挥了积极作用，将密切关注此案的后续发展。希望香港特别行政区政府和司法机关严格依照基本法履行职责，共同承担止暴制乱、恢复秩序的责任，央视报道称，全国人大常委会法制工作委员会发言人臧铁伟对判决发表谈话，香港特别行政区法律是否符合香港基本法，只能由全国人大常委会作出判断和决定，任何其他机关都无权作出判断和决定，一些全国人大代表对香港法院判决表示强烈不满，全国人大常委会法工委对此表示严重关切，香港高等法院原讼庭有关判决的内容严重削弱香港特区行政长官和政府依法应有的管治权，不符合香港基本法和全国人大常委会有关决定的规定
0,0,0,0,'3',美中两国贸易谈判代表商讨第一阶段协议的各自核心关切 ,中美两国贸易谈判代表周六通了电话，围绕第一阶段协议的各自核心关切进行了“建设性”的讨论。据中国官媒新华社报道，中美全面经济对话中方牵头人、国务院副总理刘鹤应约与美国贸易代表莱特希泽、财政部长姆努钦通了话，并将继续保持密切交流。此前，特朗普政府示意，美中就第一阶段贸易协议举行的谈判已经进入最后阶段。那通常是开始着手讨论最棘手、最复杂问题之时，谈判会不会又一次破裂没人敢打包票。白宫经济顾问库德洛周四晚间在华盛顿对记者说：“我们已经进入冲刺阶段，每天都在与他们保持沟通。”不过，他也承认，虽然已经接近达成协议，但是“尚未功成”。以往经验表明，进入最后阶段之际也通常是谈判破裂之时，特朗普也还没有公开表示认可。六个月前双方也曾经接近达成协议，但是到就要签署协议的时候，美国却突然声称中国背弃了口头承诺。据知情人士透露，双方已经举行视频会议，重点探讨了中国采购大豆、猪肉等美国农产品的具体细节和时间表，以及特朗普要求中国承诺的停止窃取知识产权等问题。库德洛发表上述言论之后，美国股市周五创出历史新高，美国国债小幅走低。标普500指数实现六连涨并再创新的历史纪录。道琼斯指数和纳斯达克指数也都创出有史以来最高水平，其中道指还首次突破了28000点大关。本月早些时候美中两国谈判代表曾经通了电话，之后双方示意，其距离达成旨在缓解贸易紧张局势的第一阶段贸易协议又近了一步。双方当时都表示，通话具有“建设性”。（新增图片及部分细节）
0,0,0,0,'4',中国金融观察：LPR改革效果弱 人行降OMO利率 为逆周期调节加码,中国央行三季度货币政策报告确认经济下行压力后，四年来首次调降公开市场7天期逆回购利率。分析认为，中国三季度加权平均贷款利率下行有限，一般贷款利率不降反升，新LPR报价传导效果不佳，宏观经济仍需更有效的货币宽松，调降OMO利率即旨在加大逆周期调节力度，未来降准降息的空间被打开。北京时间周一上午11:38，上证综指上涨0.58%，报2908点，创业板指升0.47%，中国10年期国债买价收益率下跌超过4个基点，报3.20%，同期限期货一度涨近0.5%，为逾两个半月来最大盘中涨幅，境内外人民币均小幅下跌，当前处在7.01弱方。延伸阅读：中国央行称经济下行压力持续加大 需警惕通胀预期发散，中国央行下调逆回购操作利率 跟随MLF小步宽松，中国央行意外开展MLF操作 缓解资金面压力同时可助力信贷，中国央行调降逆回购利率后 10年国债期现货双双走高 期货一度涨0.49%，国泰君安首席债券分析师覃汉在采访中表示，逆回购利率调降在MLF调降后如此短的时候内落地有些超预期，这是央行在进一步释放宽松信号，而且是非常显现的信号，决策层或在通胀上行到高点之前，提前释放政策宽松的空间，以期待稳定市场信心，同时缓解基本面的增长压力，彭博经济学家曲天石在采访中表示，调降MLF利率后再下调逆回购利率，显示人行在压低整条政策利率曲线，对债市是明显利好，经济下行压力下，未来仍有进一步下调政策利率的可能性和空间，降准也可预期，长期看，目前10年国债收益率在3.2%附近还有进一步下行的空间，不过交易过程中也要注意节奏，在接近前期低点处仍可能遇到阻力，申万宏源固收首席分析师孟祥娟等在采访和报告中指出，逆回购利率调降超出预期，有望提振债市情绪，大额投放也将缓解短期资金面，三季度贷款利率下行有限，一般贷款利率不降反升，新LPR报价传导效果不佳；结合报告来看，货币政策整体中性略宽松，往后看债市继续调整空间有限，不过，央行称要“警惕通胀预期发散”，未来两个月CPI和PPI同比预计都将表现为上行，对债市情绪制约仍在，彭博行业研究亚洲外汇利率策略师赵志轩在采访中指出：央行月初调降了MLF，这次下调逆回购利率也是情理之中，周三的LPR预计也会下调，此外，央行三季度货币政策执行报告提到“加大逆周期调节”，增加了市场对于资金面进一步宽松的预期，叠加本周企业缴税效应对短期流动性的影响逐渐消退，资金面有望转松，基于以上原因，境内外美元/人民币掉远期曲线今日整体出现了回落，招银国际研究部策略师苏沛丰在电话中表示，在中国央行主导下逆回购利率获调降，之后还将看到LPR利率的下行，利率下行有助舒缓企业融资压力，对陆港股市稍微有利，光大证券首席银行业分析师王一峰在采访中表示，逆回购降息的最核心的逻辑就是没有必要人为改变收益率形态，MLF降息后OMO跟随，说明利率走廊、收益率曲线是稳定的，中国央行降低逆回购利率将加大逆周期调节力度，引导定价体系平稳下行，降低实体经济融资成本，华创证券分析师周冠南等在报告中称，央行货政报告强调“以市场化改革办法促进实际利率水平明显降低”，预期通过MLF降息形式带动LPR下行相对更加市场化，货币政策在通胀预期和增长压力之间摆动，带来市场预期的反复，但三季度报告中所表露的货币政策关注焦点明显偏向于后者，预计后期的宽松政策会带来债市的边际利好，建议交易户在把握交易机会的同时注意安全边际，配置户在调整过程中择机配置，中金公司分析师易峘、梁红等在报告中称，经济增长动能走弱、非食品通胀下行的基本面亟需更有效的货币宽松，否则实际利率可能在接下来两到三个季度内继续走高，虽然三季度加权平均贷款利率小幅下降，但广义货币信贷增速放缓且信用利差走阔，三季度整体金融条件可能仍边际收紧，短期内货币政策可能保持大体“中性”，因为短期内稳增长与稳定消费者价格预期之间的权衡变得更为困难，中期看，在继续支持中小企业融资、弥补监管短板、以及修复中小银行资产负债表之外，央行可能会加大疏通从LPR到实体经济融资成本的传导机制，中信证券分析师明明在报告中称，货币政策执行报告中强调了要“妥善应对经济短期下行压力”，是对短期经济下行压力为数不多的确认，宽松的空间已经打开，今年以来货币政策放松步伐较去年明显偏谨慎，但在市场对政策节奏和力度上产生了预期差而发生震荡调整时，逢高进入是占优策略，10年国债到期收益率高于3.2%时可以择机买入(新增更多观点，并更新市场表现。)欲联系彭博新闻人员:
0,0,0,0,'5',周五经济数据：美国零售销售超预期；制造业数据体现贸易战压力,以下为彭博整理的11月15日公布的欧美经济数据：美国：零售销售（10月，环比）实际：0.3%；预估：0.2%；前值：-0.3%。相关报道：美国10月份零售销售较前月上升0.3%；预估为0.2%。相关报道：美国10月零售销售增长超预期 伴有部分降温迹象工业产值（10月，环比）实际：-0.8%；预估：-0.4%；前值：-0.3%相关报道：美国10月份工业产值下降0.8% 预估为下降0.4%相关报道：美国10月制造业产值创下4月以来最大跌幅 受通用汽车罢工拖累纽约州制造业指数（11月）实际：2.9；预估：6.0；前值：4.0相关报道：11月份纽约州制造业指数降至2.90；预估为6进口价格（10月，环比）实际：-0.5%；预估：-0.2%；前值：0.1%相关报道：美国10月进口价格环比下降0.5%；预估下降0.2%。商业库存（9月，环比）实际：0.0%；预估：0.1%；前值：-0.1%相关报道：美国9月商业库存环比持平；市场预估上升0.1%。欧洲：欧元区CPI（10月，同比）实际：0.7%；预估：0.7%；前值：0.8%
0,0,0,0,'6',【彭博】--?欧洲央行两位官员暗示，欧洲央行并不急于进一步扩大货币刺激。他们敦促对央行已有策略进行更深入评估。,法国央行行长Francois Villeroy de Galhau周四在法兰克福发表讲话时暗示，欧元区利率不太可能进一步大幅下降，但近期内升息的可能性也很小，除非德国等政府加大开支。荷兰央行行长Klaas Knot认为，欧洲央行在使用量化宽松等非常规工具时应更为谨慎。Knot在法兰克福表示：“在那些我们不熟知的领域部署政策工具时，货币政策可能希望更多的保持惯性，我的意思是谨慎、小心。这种态度适用于针对不太传统的政策工具，无论是逐步采用还是逐步淘汰，这些工具的效果仍未被充分了解。”包括Villeroy和Knot在内，欧洲央行管理委员会大约三分之一的成员反对9月份宣布的重启债券购买计划。这导致欧洲央行内部出现史无前例的公开分歧。克服这些分歧已成为新任欧洲央行行长克里斯汀·拉加德的首要任务。她已经答应对央行的政策战略进行评估，从一开始就将让其所有同僚都参与其中。Christine Lagarde@Lagarde I was pleased to invite my new Governing Council colleagues to join me at an off-site retreat yesterday. We discussed in an open and informal setting the running of the Governing Council.Sent via?Twitter Web App.View original?tweet.Villeroy和Knot周四都表示支持对央行的策略进行重新思考。Villeroy称， 欧洲央行应澄清对目前略低于2％的通货膨胀目标的定义，并弄清楚如何更好地与企业和消费者进行沟通，以便他们可以更好地调整预期。Villeroy说， 欧洲央行还应该研究如何最好地限制低利率给银行和保险公司带来的副作用。Knot赞成对欧洲央行的通货膨胀目标引入一个区间范围，他说，政策制定者面临的主要挑战是在选择最合适的工具之前分析他们所面临的情况。如何应对围绕这一评估的不确定性应该对于接下来评估欧洲央行货币政策策略很重要。由于央行的政策工具已接近耗尽，政策制定者一直在敦促有财政空间的政府增加支出。Villeroy周四再次发出了类似的呼吁。这一观点尚未在德国引起共鸣。周四早些时候，德国意外公布第三季度经济小幅增长，避免了出现六年来首次衰退。在彭博新闻的一次活动上，德国财政部长奥拉夫·舒尔茨重申他的观点，即经济不处于危机之中，现在不需要推出刺激措施。欧洲央行副行长Luis de Guindos在伦敦的讲话中谨慎强调央行仍然有政策选择余地，但他也呼吁其他国家政府加入进来，采取措施支持经济。
0,0,0,0,'7',欧洲央行的负利率政策调整促使现金从德国涌入意大利,随着欧洲央行的利率分层制度生效，意大利在欧洲央行的存款增加欧洲央行官员Coeure指出流动性出现大量重新分配记者?Sonia Sirletti、Nicholas Comfort、Giovanni Salzano【彭博】--?意大利的银行在充分利用欧洲央行新的负利率分层体系，在现金流出欧元区核心国之际，吸引额外存款。意大利央行的数据显示，意大利的银行在欧洲央行的存款增加了370亿欧元（410亿美元），至1378亿欧元。同时，另外的央行数据显示，意大利对欧元区其他国家的负债创纪录降幅，而德国债权净额的降幅甚至更大。欧洲央行五年来一直寻求通过对银行在该央行的隔夜存款收费来刺激增长和通胀。欧洲央行9月份在零下方进一步下调利率时，寻求通过豁免一部分存款的负利率来抵消对银行收益的伤害。该门槛设定在银行最低存款准备金要求的六倍。像意大利的银行未超过该阈值，就可以吸取外国实体的资金，将资金以零成本存入欧洲央行，从而避免了诸如德国等有大量存款的银行需要支付的费用。“在两层利率制度运行的第一天，我们观察到大量过剩流动性的重新分配，”欧洲央行执委会委员Benoit Coeure周二在法兰克福表示。 “通常是离开流动性充裕的国家，例如比利时、德国和荷兰，而转向有未使用配额的国家，例如意大利。”
0,0,0,0,'8',欧洲央行的负利率政策调整促使现金从德国涌入意大利,随着欧洲央行的利率分层制度生效，意大利在欧洲央行的存款增加。欧洲央行官员Coeure指出流动性出现大量重新分配记者?Sonia Sirletti、Nicholas Comfort、Giovanni Salzano【彭博】--?意大利的银行在充分利用欧洲央行新的负利率分层体系，在现金流出欧元区核心国之际，吸引额外存款。意大利央行的数据显示，意大利的银行在欧洲央行的存款增加了370亿欧元（410亿美元），至1378亿欧元。同时，另外的央行数据显示，意大利对欧元区其他国家的负债创纪录降幅，而德国债权净额的降幅甚至更大。欧洲央行五年来一直寻求通过对银行在该央行的隔夜存款收费来刺激增长和通胀。欧洲央行9月份在零下方进一步下调利率时，寻求通过豁免一部分存款的负利率来抵消对银行收益的伤害。该门槛设定在银行最低存款准备金要求的六倍。像意大利的银行未超过该阈值，就可以吸取外国实体的资金，将资金以零成本存入欧洲央行，从而避免了诸如德国等有大量存款的银行需要支付的费用。“在两层利率制度运行的第一天，我们观察到大量过剩流动性的重新分配，”欧洲央行执委会委员Benoit Coeure周二在法兰克福表示。 “通常是离开流动性充裕的国家，例如比利时、德国和荷兰，而转向有未使用配额的国家，例如意大利。”
0,0,0,0,'9',法国央行：法国本季度经济增长将放缓,法国央行周二表示，由于全球经济放缓对工业造成压力，法国经济增长今年年底将稍有降温。预期经济增速放缓表明，在贸易和制造业滑坡打击了欧元区诸多国家之际，欧元区第二大经济体也不能幸免。到目前为止，由于内需帮助法国经济维持增长势头，法国表现出了更大的韧性。据央行的活动指标显示，法国国内生产总值本季度将增长0.2%，此前第三季度增长了0.3%。不过，与德国相比，法国的情况还是相对乐观。德国周四公布的数据将可能显示经济在第三季度陷入衰退。法国央行的调查还显示，工业领域的高管们预计本月生产将会放缓。服务业则预计将保持与10月相同的增长速度。
0,0,0,0,'10',中国大宗商品市场：猪肉价格飞涨 信贷数据低迷 关注应对措施,中国10月份信贷扩张不及预期，使得工业商品的需求压力增加，但也可能会促使决策者采取刺激措施，最终使市场受益。镍价在上期所领跌，价格降至8月中旬低点，因印尼在暂停镍矿石出口后又允许部分出口恢复。其他供应市场消息，铁矿石市场得到缓解，顶级供应商淡水河谷小幅调低了今年的销售目标，以在市场价格下跌时支撑利润率。随着国内对稀土的需求增加，中国的年度稀土开采总量控制指标达到纪录新高。另外，猪肉价格也将获得一丝喘息，随着通货膨胀达到七年来最高水平，中国或不得果断干预，为价格猛涨降温。贸易方面，美国总统特朗普今天晚些时候在纽约经济俱乐部午餐会上的讲话，可能会引发市场反响。
